INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHIMIPREDICTOR
FUTURE,112,ADMIMETH_1,-1.7205629959478668,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,112,ADMIMETH_1,-1.7069673662482774,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,112,ADMIMETH_1,-1.7000206743143274,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,113,ADMIMETH_1,-1.6262490337398658,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,113,ADMIMETH_1,-1.5909840414015983,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,113,ADMIMETH_1,-1.552133489431468,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,114,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,114,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,114,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,115,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,115,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,115,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,116,ADMIMETH_1,-2.7233213697709253,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,116,ADMIMETH_1,-2.6972643530353277,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,116,ADMIMETH_1,-2.6881713608460354,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,117,ADMIMETH_1,-1.5730553629826431,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,117,ADMIMETH_1,-1.5477377667228671,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,117,ADMIMETH_1,-1.5594529033076145,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,118,ADMIMETH_1,-0.296902992631124,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,118,ADMIMETH_1,-0.28615179577592814,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,118,ADMIMETH_1,-0.28593153372474683,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,119,ADMIMETH_1,-1.3326960233555782,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201811201910
FUTURE,119,ADMIMETH_1,-1.378490786041346,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,119,ADMIMETH_1,-1.429965930716571,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
