INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHMIPREDICTOR
FUTURE,1,ADMIMETH_1,-2.0309521134852546,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,1,ADMIMETH_1,-2.076951410674127,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,1,ADMIMETH_1,-2.142639974712954,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,1,ADMIMETH_1,-2.1808716822561087,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,1,ADMIMETH_1,-2.233417536391346,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,1,ADMIMETH_1,-2.284466892113818,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,100,ADMIMETH_1,-1.398603294068638,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,100,ADMIMETH_1,-1.3952560529360079,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,100,ADMIMETH_1,-1.391093221833708,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,100,ADMIMETH_1,-1.3849112959643952,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,100,ADMIMETH_1,-1.3770706075724206,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,100,ADMIMETH_1,-1.3713400848359434,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,101,ADMIMETH_1,-1.54861613172443,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,101,ADMIMETH_1,-1.5530223284512363,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,101,ADMIMETH_1,-1.5530699777131123,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,101,ADMIMETH_1,-1.5490011977103544,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,101,ADMIMETH_1,-1.5421884584706786,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,101,ADMIMETH_1,-1.5404478904176933,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,102,ADMIMETH_1,-2.0240499819014515,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,102,ADMIMETH_1,-2.0169782503291698,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,102,ADMIMETH_1,-2.0182339029975513,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,102,ADMIMETH_1,-2.0165041877872016,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,102,ADMIMETH_1,-2.0098483581934454,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,102,ADMIMETH_1,-2.006207327596286,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,103,ADMIMETH_1,-1.9242561622315697,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,103,ADMIMETH_1,-1.9269579948356104,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,103,ADMIMETH_1,-1.9241400601957186,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,103,ADMIMETH_1,-1.9205933367216521,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,103,ADMIMETH_1,-1.927717468939287,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,103,ADMIMETH_1,-1.9302076127272203,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,104,ADMIMETH_1,-2.1463966036056332,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,104,ADMIMETH_1,-2.139341914191733,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,104,ADMIMETH_1,-2.1359688771372687,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,104,ADMIMETH_1,-2.135830790624077,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,104,ADMIMETH_1,-2.1361122403362875,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
