INDICATOR_CODE,DIAGNOSIS_GROUP,PREDICTOR,PARAMETER_ESTIMATE,STANDARD_ERROR,WALD_CHI_SQUARE,WALD_DF,WALD_P_VALUE,PUBLISHED_DATE,SHMIPREDICTOR
FUTURE,1,ADMIMETH_1,-2.0305730758053664,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,1,ADMIMETH_1,-2.0778992236983544,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,1,ADMIMETH_1,-2.1427097694362316,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,1,ADMIMETH_1,-2.1825561193086465,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,1,ADMIMETH_1,-2.235438419015035,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,1,ADMIMETH_1,-2.2850614204499666,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,10,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,100,ADMIMETH_1,-1.3989095484160248,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,100,ADMIMETH_1,-1.3955187494954089,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,100,ADMIMETH_1,-1.3911778922542712,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,100,ADMIMETH_1,-1.3849792885164063,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,100,ADMIMETH_1,-1.3770579669257086,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,100,ADMIMETH_1,-1.3716896689163534,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,101,ADMIMETH_1,-1.5485588714171155,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,101,ADMIMETH_1,-1.5526978372782028,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,101,ADMIMETH_1,-1.5526739518497696,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,101,ADMIMETH_1,-1.5489365974394969,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,101,ADMIMETH_1,-1.5410583019369808,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,101,ADMIMETH_1,-1.5395153687272234,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,102,ADMIMETH_1,-2.0249079392365017,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,102,ADMIMETH_1,-2.017891190389647,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,102,ADMIMETH_1,-2.0190331478128063,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,102,ADMIMETH_1,-2.0179235972949723,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,102,ADMIMETH_1,-2.0118803762521598,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,102,ADMIMETH_1,-2.0090242283655164,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,103,ADMIMETH_1,-1.9270203133672608,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,103,ADMIMETH_1,-1.9280926194205255,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,103,ADMIMETH_1,-1.9241079887195873,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,103,ADMIMETH_1,-1.9214067013744356,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,103,ADMIMETH_1,-1.9297126303912089,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,103,ADMIMETH_1,-1.9312277087662135,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,104,ADMIMETH_1,-2.1476058457339304,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,104,ADMIMETH_1,-2.141774865879271,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,104,ADMIMETH_1,-2.1367153841893107,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,104,ADMIMETH_1,-2.1379730298408663,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,104,ADMIMETH_1,-2.13742936825844,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,104,ADMIMETH_1,-2.1355802791208007,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,105,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
FUTURE,105,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201901201912
FUTURE,105,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201902202001
FUTURE,105,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201903202002
FUTURE,105,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201904202003
FUTURE,105,ADMIMETH_1,0.0,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201905202004
FUTURE,106,ADMIMETH_1,-1.0819274081781294,FUTURE,FUTURE,FUTURE,FUTURE,20200327,201812201911
